code,name,surname,birthday,address_street_number,address_street,address_city,address_postal_code,address_country
ind-65833055-369,Georgetta,Rosel,1929-09-10T19:52:48Z,5796,East,Chŏngju,,North Korea
ind-66528265-031,Alva,Chark,1932-01-13T19:20:27Z,6106,Farragut,Yŏnan-ŭp,,North Korea
ind-06498531-865,Sher,Elcox,1988-01-21T20:13:00Z,19,Transport,Iwŏn-ŭp,,North Korea
ind-59583646-979,Brittaney,Massenhove,1923-01-18T14:00:22Z,5,Cherokee,Sinanju,,North Korea
ind-38133694-788,Davie,Arnould,1939-08-07T12:30:58Z,431,Summerview,Ŭiju,,North Korea
ind-85207028-499,Dominic,Shear,1955-04-07T05:26:50Z,2135,Farmco,T’ongch’ŏn-ŭp,,North Korea
ind-21801160-332,Bernardo,Benninger,1956-03-02T03:42:49Z,386,Namekagon,Ayang-ni,,North Korea
ind-40628151-715,Ambrosi,Legendre,1922-04-28T14:21:41Z,2,Quincy,Hongwŏn,,North Korea
ind-27092735-991,Rozanne,Obee,2000-02-21T21:15:57Z,975,Montana,Sunan,,North Korea
ind-07557282-920,Mariann,Crickmer,1970-03-26T01:11:05Z,144,West,Chŏngju,,North Korea
ind-07492645-632,Arnold,Gledhall,1975-04-15T06:53:12Z,1,Sugar,Hwangju-ŭp,,North Korea
ind-06820044-552,Burnaby,Charer,1967-03-25T03:15:54Z,54,Arapahoe,Hongwŏn,,North Korea
ind-26438049-364,Carlyn,Honywill,2006-09-14T19:01:03Z,00,Carey,Kapsan-ŭp,,North Korea
ind-49275197-727,Violet,Carlisi,1965-10-30T11:00:13Z,760,Birchwood,Sakchu-ŭp,,North Korea
ind-73528129-332,Joli,Emmines,1941-11-07T11:01:31Z,54,Anniversary,Najin,,North Korea
ind-36559796-481,Hube,Bayston,1972-08-25T01:50:12Z,126,Old Gate,Haeju,,North Korea
ind-84931523-308,Darren,L' Anglois,1952-11-03T09:31:07Z,1811,Marquette,Chongjin,,North Korea
ind-96134906-157,Ivonne,Goakes,2001-04-07T20:04:00Z,4703,Stuart,Aoji-ri,,North Korea
ind-72726668-144,Kim,Spurman,1966-10-25T16:10:08Z,6,Daystar,Aoji-ri,,North Korea
ind-24844490-442,Tanny,Pedwell,1979-01-22T09:41:21Z,09,Russell,Anbyŏn-ŭp,,North Korea
ind-76431917-575,Stillman,Yanson,1929-12-02T10:54:50Z,6,High Crossing,Yŏnggwang-ŭp,,North Korea
ind-45992494-553,Bret,Dotson,1945-03-03T15:35:34Z,320,Mayfield,Hyesan-si,,North Korea
ind-35447413-938,Dev,Staines,1971-11-23T07:00:03Z,59,Elka,Hyesan-si,,North Korea
ind-96574703-052,Arvy,Seeks,1969-09-27T08:38:52Z,2484,Fuller,Hamhŭng,,North Korea
ind-47673045-557,Claudio,Persence,1926-02-08T18:41:58Z,1,Lindbergh,Haeju,,North Korea
ind-50019073-612,Sauveur,Janoch,1982-05-14T22:04:23Z,6054,American,Haeju,,North Korea
ind-13147349-189,Meade,Chasmor,1971-02-06T02:16:59Z,24,Elgar,Changyŏn,,North Korea
ind-81077602-222,Barry,Rosenfelder,1976-10-09T10:15:36Z,1,Eastwood,Ayang-ni,,North Korea
ind-27679793-174,Daphene,Suscens,1977-09-28T21:34:03Z,464,Coleman,Chongjin,,North Korea
ind-28584450-418,Annamarie,Eakly,1956-03-15T18:07:24Z,23,Everett,Chŏngju,,North Korea
ind-46290935-284,Nicola,Favell,1933-10-20T10:46:55Z,838,Forest Dale,Chasŏng,,North Korea
ind-31841729-902,Luelle,Lytton,1938-11-03T18:22:31Z,51,Sauthoff,Yŏnggwang-ŭp,,North Korea
ind-49588625-953,Brew,Spencer,1960-11-17T13:50:33Z,21,Briar Crest,Namyang-dong,,North Korea
ind-12618424-428,Hana,Ebbrell,1994-12-14T06:23:48Z,19532,Cottonwood,Kapsan-ŭp,,North Korea
ind-20296097-404,Barbey,Tilston,1973-12-23T14:41:56Z,721,Clemons,Sil-li,,North Korea
ind-12785078-029,Malanie,Guttridge,1933-02-26T23:01:58Z,242,Florence,Chongjin,,North Korea
ind-13147413-083,Ciro,Greasty,1991-01-18T17:58:04Z,723,Banding,Namp’o,,North Korea
ind-95018483-564,Gare,Tailour,1967-12-23T01:07:19Z,225,Crescent Oaks,Wŏnsan,,North Korea
ind-39459957-150,Talia,Boyes,1974-07-19T16:18:23Z,17,Colorado,Yŏnggwang-ŭp,,North Korea
ind-63362356-779,Pammy,Vince,1998-09-06T18:12:50Z,4,Dryden,Ayang-ni,,North Korea
ind-54131448-653,Henrietta,Peacop,1938-09-18T21:05:24Z,202,Buell,Anbyŏn-ŭp,,North Korea
ind-82744881-990,Patience,Yansons,1973-03-04T05:45:19Z,293,Wayridge,Ŭiju,,North Korea
ind-67976171-497,Mahmoud,Darling,1934-05-21T11:39:37Z,53011,Annamark,Songnim,,North Korea
ind-14652320-605,Babara,Carme,2004-05-20T02:07:41Z,6,Colorado,Anbyŏn-ŭp,,North Korea
ind-17179282-221,Richie,Dukes,1946-09-17T18:21:49Z,9633,Sundown,Ayang-ni,,North Korea
ind-86260099-514,Garald,Helks,1980-05-08T08:12:15Z,98,Buell,Hyesan-dong,,North Korea
ind-38883752-989,Stefa,Filppetti,1995-01-21T19:24:06Z,984,Buhler,Hŭngju-dong,,North Korea
ind-72540157-968,Guenevere,Hulland,1920-12-31T21:02:53Z,5,Northview,Sŭngho 1-tong,,North Korea
ind-51673782-199,Raimund,Bellard,1987-06-13T00:22:50Z,70759,Stuart,Sinmak,,North Korea
ind-86182152-728,Dallis,Elintune,1974-04-26T19:07:14Z,624,Sloan,Hyesan-si,,North Korea
ind-05146082-707,Mace,Standbridge,1987-05-08T06:01:27Z,27,Melrose,Anju,,North Korea
ind-22517342-921,Wilmette,Labro,2005-03-19T08:34:22Z,95,Logan,Hŭngnam,,North Korea
ind-26611614-185,Linus,Bartozzi,1925-10-10T08:28:04Z,4513,Erie,Kaesŏng,,North Korea
ind-38060634-721,Sauncho,Pond-Jones,1972-02-01T19:50:32Z,716,Debs,Hoeryŏng,,North Korea
ind-87566285-793,Harwilll,Huerta,1967-12-29T22:08:44Z,7,Lake View,Ŭiju,,North Korea
ind-01749466-725,Mitch,Jickles,1992-09-08T09:57:13Z,7,Bluejay,Kangdong-ŭp,,North Korea
ind-11906306-448,Rickie,Chrystie,1951-12-29T00:20:25Z,34,Larry,Nanam,,North Korea
ind-90284473-725,Guillaume,Rubrow,1953-08-31T14:09:36Z,325,1st,Yŏnggwang-ŭp,,North Korea
